股票名称, 股票跌幅天数, 股票总涨跌幅,
兆易创新_0603986.csv,2,-8.0831,
兆驰股份_1002429.csv,2,-5.3151,
先导智能_1300450.csv,2,-10.087299999999999,
先达股份_0603086.csv,3,-11.3393,
先进数通_1300541.csv,3,-7.6841,
先锋新材_1300163.csv,3,-8.778799999999999,
光华科技_1002741.csv,2,-9.5927,
光启技术_1002625.csv,2,-6.0352,
光大银行_0601818.csv,3,-3.5680000000000005,
光库科技_1300620.csv,2,-2.9204000000000003,
光弘科技_1300735.csv,2,-12.468,
光明乳业_0600597.csv,3,-6.8031,
光明地产_0600708.csv,3,-5.7143,
光洋股份_1002708.csv,5,-13.061100000000001,
光电股份_0600184.csv,2,-6.7141,
光迅科技_1002281.csv,2,-6.5816,
光韵达_1300227.csv,2,-5.5434,
克明面业_1002661.csv,8,-11.6445,
克来机电_0603960.csv,4,-5.0679,
兔宝宝_1002043.csv,2,-8.0277,
兖州煤业_0600188.csv,2,-4.6969,
全志科技_1300458.csv,2,-4.6257,
全新好_1000007.csv,2,-12.6045,
全柴动力_0600218.csv,2,-16.116,
全筑股份_0603030.csv,4,-6.850999999999999,
全聚德_1002186.csv,5,-7.007899999999999,
全通教育_1300359.csv,2,-7.815,
八一钢铁_0600581.csv,5,-18.3443,
八菱科技_1002592.csv,5,-47.311499999999995,
兰太实业_0600328.csv,2,-3.3761,
兰州黄河_1000929.csv,2,-5.5173000000000005,
兰生股份_0600826.csv,3,-4.5811,
兰花科创_0600123.csv,2,-5.6605,
共进股份_0603118.csv,2,-1.0444,
兴业矿业_1000426.csv,2,-3.6598,
兴业股份_0603928.csv,2,-6.584999999999999,
兴业银行_0601166.csv,3,-2.3830999999999998,
兴化股份_1002109.csv,2,-13.0154,
兴民智通_1002355.csv,1,-6.1497,
兴瑞科技_1002937.csv,1,-9.988,
兴蓉环境_1000598.csv,2,-4.4615,
养元饮品_0603156.csv,2,-1.2092,
冀东水泥_1000401.csv,2,-4.1705,
冀东装备_1000856.csv,5,-10.1555,
冀中能源_1000937.csv,2,-5.6638,
冀凯股份_1002691.csv,3,-17.6221,
内蒙一机_0600967.csv,2,-5.461,
再升科技_0603601.csv,2,-6.170999999999999,
农业银行_0601288.csv,5,-3.4134,
农产品_1000061.csv,2,-5.4123,
农发种业_0600313.csv,6,-8.8452,
冠农股份_0600251.csv,2,-7.947799999999999,
冠城大通_0600067.csv,2,-5.5918,
冰轮环境_1000811.csv,2,-14.943999999999999,
凌云B股_0900957.csv,2,-1.866,
凌云股份_0600480.csv,2,-5.7921,
凌钢股份_0600231.csv,2,-5.7857,
凌霄泵业_1002884.csv,2,-5.3882,
凤凰B股_0900916.csv,7,-3.9779,
凤凰传媒_0601928.csv,4,-6.659199999999999,
凤凰股份_0600716.csv,2,-9.8038,
凤竹纺织_0600493.csv,2,-5.7293,
凯中精密_1002823.csv,2,-8.176300000000001,
凯众股份_0603037.csv,4,-10.6843,
凯伦股份_1300715.csv,2,-0.6232,
凯利泰_1300326.csv,5,-5.8622,
凯发电气_1300407.csv,2,-6.9696,
凯恩股份_1002012.csv,2,-11.5366,
凯撒旅游_1000796.csv,2,-6.8133,
凯文教育_1002659.csv,3,-5.231300000000001,
凯普生物_1300639.csv,2,-7.8101,
凯瑞德_1002072.csv,2,-6.341600000000001,
凯盛科技_0600552.csv,2,-11.4869,
凯美特气_1002549.csv,2,-7.037,
凯马B_0900953.csv,2,-4.1823,
分众传媒_1002027.csv,3,-13.7528,
刚泰控股_0600687.csv,6,-20.825899999999997,
创源文化_1300703.csv,2,-5.2997,
创维数字_1000810.csv,2,-8.5208,
初灵信息_1300250.csv,2,-9.95,
