股票名称,最低价天数,收盘价天数,
光电股份_0600184.csv,19,19,
光线传媒_1300251.csv,76,0,
光莆股份_1300632.csv,10,0,
光迅科技_1002281.csv,45,45,
光韵达_1300227.csv,46,46,
克明面业_1002661.csv,28,28,
克来机电_0603960.csv,53,53,
兔宝宝_1002043.csv,23,23,
兖州煤业_0600188.csv,18,16,
全信股份_1300447.csv,19,0,
全志科技_1300458.csv,41,38,
全新好_1000007.csv,46,44,
全柴动力_0600218.csv,8,8,
全筑股份_0603030.csv,18,17,
全聚德_1002186.csv,33,33,
全通教育_1300359.csv,18,18,
八一钢铁_0600581.csv,43,43,
八菱科技_1002592.csv,32,32,
六国化工_0600470.csv,1,0,
兰太实业_0600328.csv,18,18,
兰州民百_0600738.csv,12,0,
兰州黄河_1000929.csv,18,16,
兰生股份_0600826.csv,16,16,
兰石重装_0603169.csv,27,0,
兰花科创_0600123.csv,19,19,
共达电声_1002655.csv,21,0,
共进股份_0603118.csv,9,2,
兴业矿业_1000426.csv,58,58,
兴业科技_1002674.csv,7,0,
兴业股份_0603928.csv,48,47,
兴业证券_0601377.csv,19,0,
兴业银行_0601166.csv,10,10,
兴化股份_1002109.csv,26,26,
兴发集团_0600141.csv,15,0,
兴森科技_1002436.csv,3,0,
兴民智通_1002355.csv,12,5,
兴源环境_1300266.csv,8,8,
兴瑞科技_1002937.csv,69,69,
兴蓉环境_1000598.csv,18,18,
兴齐眼药_1300573.csv,1,0,
养元饮品_0603156.csv,2,2,
冀东水泥_1000401.csv,29,21,
冀东装备_1000856.csv,43,43,
冀中能源_1000937.csv,19,18,
冀凯股份_1002691.csv,29,29,
内蒙一机_0600967.csv,47,47,
内蒙华电_0600863.csv,5,5,
再升科技_0603601.csv,21,21,
农业银行_0601288.csv,19,19,
农产品_1000061.csv,19,19,
农发种业_0600313.csv,19,19,
农尚环境_1300536.csv,23,0,
冠农股份_0600251.csv,29,29,
冠城大通_0600067.csv,30,30,
冠昊生物_1300238.csv,2,2,
冠豪高新_0600433.csv,30,0,
冰川网络_1300533.csv,38,0,
冰轮环境_1000811.csv,12,12,
凌云B股_0900957.csv,41,29,
凌云股份_0600480.csv,29,29,
凌钢股份_0600231.csv,42,33,
